Position,City,Population,Area,Density
0,Natal,"884122,00",167.40,5281.49342891278
1,Mossoró,"300102,00",2099.33,142.951322564818
2,Parnamirim,"261469,00",124.00,2108.62096774194
3,São Gonçalo do Amarante,"103328,00",249.80,413.642914331465
4,Macaíba,"82380,00",510.09,161.500911603835
5,Ceará-Mirim,"73484,00",724.84,101.379614811545
6,Caicó,"68268,00",1228.58,55.5664533857297
7,Açu,"57972,00",1303.44,44.4760871599964
8,Currais Novos,"45248,00",864.34,52.3497697665271
9,Santa Cruz,"44067,00",624.35,70.5806038279811
10,São José de Mipibu,"43842,00",290.33,151.007474253436
11,Nova Cruz,"39726,00",277.60,143.105187319885
12,Apodi,"36367,00",1602.48,22.6942414774128
13,João Câmara,"35382,00",714.96,49.4880832494126
14,Canguaretama,"34526,00",245.48,140.646895877465
15,Touros,"34298,00",840.92,40.7862816914808
16,Macau,"31865,00",775.30,41.10021926996
17,Pau dos Ferros,"31274,00",259.95,120.307751490671
18,Extremoz,"28595,00",140.63,203.334992533599
19,Baraúna,"28180,00",825.68,34.1294448212383
20,Areia Branca,"27641,00",335.21,82.458757196981
21,Nísia Floresta,"27427,00",307.85,89.0920903037193
22,Goianinha,"26032,00",192.27,135.392937015655
23,Santo Antônio,"24486,00",301.08,81.3272220007971
24,São Miguel,"23386,00",166.23,140.684593635325
25,Monte Alegre,"22381,00",210.91,106.116352946755
26,Parelhas,"21398,00",513.50,41.6708860759494
27,Caraúbas,"20495,00",1095.80,18.7031793123399
28,São Paulo do Potengi,"18108,00",240.42,75.3181931619666
29,Jucurutu,"18102,00",933.72,19.3869682560082
30,Tangará,"15831,00",339.48,46.6330858960764
31,Ipanguaçu,"15400,00",374.24,41.1500641299701
32,Lagoa Nova,"15285,00",176.30,86.6988088485536
33,Guamaré,"15173,00",258307.00,0.058740181257186
34,Poço Branco,"15089,00",230.40,65.4904513888889
35,Pendências,"14863,00",419.13,35.4615513086632
36,Jardim de Piranhas,"14793,00",330.53,44.7553928539013
37,Pedro Velho,"14648,00",192.70,76.0145303580696
38,Upanema,"14483,00",873.14,16.5872597750647
39,Alto do Rodrigues,"14305,00",191.33,74.7661109078555
40,Arês,"14209,00",115.50,123.021645021645
41,Tibau do Sul,"14957,00",102.68,145.666147253603
42,Alexandria,"13585,00",381.20,35.6374606505771
43,Ielmo Marinho,"13583,00",312.02,43.5324658675726
44,Passa e Fica,"13108,00",42.13,311.132209826727
45,Governador Dix-Sept Rosado,"13002,00",1129.55,11.5107786286574
46,Santana do Matos,"12872,00",1425.36,9.03070101588371
47,São José do Campestre,"12884,00",341.11,37.7708070710328
48,Patu,"12695,00",319.12,39.7812735021309
49,Brejinho,"12582,00",61.55,204.419171405361
50,Jardim do Seridó,"12427,00",367.64,33.8020890001088
51,Vera Cruz,"12366,00",83.89,147.407319108356
